height,weight
137.5,47.9
195.1,73.5
173.2,55.0
159.9,55.0
115.6,25.7
115.6,25.0
105.8,52.1
186.6,67.1
160.1,55.4
170.8,69.6
102.1,21.0
197.0,75.5
183.2,67.8
121.2,29.5
118.2,34.8
118.3,44.2
130.4,42.1
152.5,53.5
143.2,39.5
129.1,59.3
161.2,49.1
113.9,20.0
129.2,48.2
136.6,91.7
145.6,44.8
178.5,58.8
120.0,53.7
151.4,54.3
159.2,105.6
104.6,28.9
160.8,58.1
117.1,47.5
106.5,25.7
194.9,57.9
196.6,82.0
180.8,70.4
130.5,41.3
109.8,34.6
168.4,55.5
144.0,47.2
112.2,29.8
149.5,43.8
103.4,38.6
190.9,56.3
125.9,61.5
166.3,116.8
131.2,22.8
152.0,48.8
154.7,50.7
118.5,38.2
197.0,63.6
177.5,64.1
193.9,70.8
189.5,62.4
159.8,46.1
192.2,80.3
108.8,20.0
119.6,39.6
104.5,35.2
132.5,39.1
138.9,45.0
127.1,50.2
182.9,59.4
135.7,36.8
128.1,34.1
154.3,63.8
114.1,45.0
180.2,51.2
107.5,38.8
198.7,82.5
177.2,79.1
119.9,38.8
100.6,24.8
181.5,77.2
170.7,67.3
172.9,83.9
177.1,73.2
107.4,30.2
135.8,31.2
111.6,25.0
186.3,53.8
162.3,54.0
133.1,50.8
106.4,28.1
131.1,50.8
132.5,44.6
173.0,57.4
163.8,57.8
188.7,74.1
147.2,50.0
112.0,32.5
171.3,53.0
176.1,58.7
156.1,75.6
177.1,75.8
149.4,35.0
152.3,75.6
142.8,47.1
102.5,35.2
110.8,25.2
103.1,36.8
163.6,57.4
131.4,39.1
150.9,58.0
190.8,65.1
124.9,34.6
141.0,52.2
175.6,62.5
122.9,55.5
107.7,35.8
129.0,45.8
116.1,32.6
193.0,80.2
180.8,62.2
163.3,59.5
187.1,59.4
180.4,75.6
118.7,37.2
189.3,89.5
153.9,75.9
180.7,73.0
189.6,70.5
131.8,31.4
111.0,39.6
122.8,38.5
142.7,51.7
181.8,83.2
186.1,59.8
100.7,20.0
151.1,48.2
141.7,54.1
122.2,41.7
112.0,22.0
133.8,49.4
194.3,60.1
132.3,32.8
151.9,49.8
170.3,54.6
136.4,52.1
197.2,76.5
196.2,90.8
125.2,35.1
149.7,48.6
130.1,52.1
128.5,38.3
103.7,41.8
161.0,60.9
150.3,26.6
105.1,39.3
127.9,48.1
190.8,110.7
124.0,20.0
114.5,25.6
148.9,43.6
198.6,65.9
124.2,54.5
167.2,58.5
176.2,62.7
123.8,42.4
172.8,67.1
136.8,20.0
163.2,50.2
163.4,42.5
153.6,55.8
109.0,26.6
183.5,66.9
132.1,20.3
118.7,31.2
104.1,38.2
159.1,68.6
167.8,66.1
101.7,20.0
151.2,63.2
122.6,43.6
164.5,56.1
117.4,20.0
169.1,69.1
138.7,38.4
193.7,75.3
113.8,32.6
134.1,57.4
111.3,29.4
192.5,71.1
187.7,84.7
125.8,31.3
166.0,66.1
181.7,63.9
155.5,42.7
153.0,51.5
124.2,44.0
109.3,43.2
189.7,84.6
190.0,67.1
163.3,46.8
133.9,38.8
134.9,30.6
172.6,59.1
189.7,66.4
188.7,76.6
178.0,41.9
164.2,49.8
108.4,22.0
116.2,45.0
189.9,58.8
160.6,57.6
100.9,24.2
110.1,40.5
166.4,64.1
100.5,74.7
116.1,27.5
154.9,33.9
169.2,62.1
165.2,62.9
122.4,20.5
171.2,48.3
123.7,39.4
132.5,44.7
174.6,52.4
165.0,51.7
184.9,49.1
165.8,71.7
156.8,40.4
109.4,35.1
136.8,43.0
126.5,51.2
124.4,29.3
197.3,74.3
139.3,27.7
189.2,50.2
163.1,62.5
179.5,46.9
150.3,47.8
157.7,64.0
149.3,57.1
119.5,28.1
172.2,45.2
128.1,44.1
102.4,39.6
164.5,50.7
117.7,25.8
194.0,66.8
195.4,78.4
191.5,83.0
137.0,31.1
101.5,20.0
192.8,94.8
142.8,44.6
196.7,75.9
196.4,66.3
185.3,72.6
129.4,49.3
138.5,47.3
185.1,85.0
131.7,37.6
116.9,30.8
155.7,55.2
193.6,76.5
169.6,62.1
157.0,40.7
109.7,33.0
161.5,52.0
199.0,68.7
114.0,32.3
151.8,41.3
187.7,57.5
174.1,35.9
169.7,77.3
170.2,65.7
135.9,41.8
129.4,33.0
180.9,36.7
181.0,58.2
186.7,75.5
191.3,80.1
151.1,57.0
150.2,51.7
179.8,78.0
165.0,54.2
170.2,71.0
179.6,60.9
189.0,60.7
133.8,31.8
137.6,33.1
109.4,36.3
157.8,46.5
103.6,20.0
146.6,55.4
154.3,55.4
128.7,49.0
159.1,59.7
103.1,48.9
103.7,27.6
182.3,67.4
136.0,33.8
112.7,20.3
152.2,44.3
177.0,83.9
121.6,31.7
162.3,68.5
108.5,24.6
105.2,36.5
153.1,60.6
154.1,61.6
163.7,60.7
172.6,75.1
197.6,77.6
151.6,68.0
132.3,24.9
179.5,68.2
127.1,41.4
143.9,37.6
107.8,34.7
102.5,20.0
196.3,66.6
183.6,46.8
169.6,75.4
140.9,43.1
117.3,55.3
115.6,40.9
125.0,42.0
154.9,46.6
171.5,50.3
166.0,63.2
128.0,38.3
195.5,59.4
173.8,46.7
155.4,43.1
161.2,73.8
142.0,68.1
124.8,79.2
135.6,44.3
175.8,59.5
101.4,20.0
111.6,44.6
104.6,46.0
104.1,20.0
185.5,66.9
170.4,55.7
147.4,44.5
109.8,41.8
149.2,36.5
147.3,53.3
117.3,40.9
143.4,45.3
139.9,53.9
161.6,57.3
163.5,68.9
104.5,20.0
137.5,40.2
162.6,55.6
150.3,23.4
185.6,57.0
165.9,49.8
116.3,42.6
107.1,21.5
164.2,48.9
102.7,34.5
158.6,38.1
194.0,51.3
157.5,50.2
138.8,29.9
164.3,43.1
145.8,53.6
154.6,61.0
194.1,80.0
138.6,55.4
196.1,85.5
190.5,49.0
119.6,39.3
106.9,23.2
110.1,22.6
101.8,31.5
109.4,20.0
168.3,41.6
107.1,34.9
131.9,45.8
184.5,68.6
102.3,61.9
181.4,73.2
128.2,77.4
111.8,31.8
169.7,48.1
162.9,52.2
187.7,77.3
173.5,75.0
180.3,61.9
128.2,36.6
117.7,32.3
175.1,65.3
180.7,59.5
199.1,45.6
141.3,57.6
137.2,61.5
177.6,57.7
134.1,31.4
193.1,70.2
185.8,66.0
142.9,56.4
175.1,63.1
175.5,54.8
110.3,20.0
190.3,78.8
150.5,56.3
182.6,76.9
132.0,31.3
189.6,88.2
138.9,27.0
101.1,32.6
190.5,51.2
109.1,21.7
131.9,56.6
195.0,80.8
195.1,67.1
157.3,48.5
163.2,57.6
144.8,52.6
129.3,52.2
132.9,36.9
167.3,42.5
175.2,64.2
179.2,60.0
179.0,51.5
109.1,32.5
149.4,47.6
105.8,30.9
155.0,43.5
144.2,51.9
188.8,56.2
135.1,34.3
111.7,28.4
114.3,49.6
176.2,70.9
161.8,66.7
110.1,44.2
108.4,65.2
170.1,60.5
107.3,42.8
182.2,76.2
170.6,70.3
108.1,46.8
108.5,25.0
198.7,69.3
137.4,46.9
137.1,41.7
181.3,68.8
194.7,88.0
198.6,69.5
175.3,59.6
137.6,45.6
108.4,26.9
177.7,44.7
155.8,47.1
142.4,53.1
190.6,84.7
111.1,20.0
149.3,38.0
101.1,25.9
146.9,27.7
105.6,23.4
111.9,20.0
111.8,44.6
164.9,49.8
174.6,78.8
158.3,65.3
196.2,66.6
137.5,33.0
128.6,37.4
186.9,67.4
122.4,39.6
196.3,65.4
101.2,33.1
197.0,76.1
104.3,23.8
189.1,62.4
152.8,49.5
199.3,66.5
107.4,29.3
155.4,53.5
196.9,76.1
152.3,68.8
162.9,55.1
169.6,69.8
145.5,50.0
162.8,54.0
158.4,53.0
190.1,69.5
104.5,30.1
128.1,29.5
195.0,57.9
189.0,76.1
145.6,56.8
162.0,63.5
127.7,40.4
118.8,42.1
146.4,55.3
135.3,50.5
158.4,45.6
107.8,20.0
197.4,69.8
198.6,74.1
169.8,57.5
153.6,33.0
131.0,57.7
181.4,62.9
168.5,61.0
116.3,45.6
191.1,47.1
182.3,61.0
195.0,68.6
172.6,57.9
161.3,53.9
141.8,60.4
193.3,78.4
186.6,77.9
104.5,27.7
102.6,20.0
137.6,23.0
181.1,50.2
198.7,78.0
115.0,32.8
159.4,52.6
138.1,40.4
197.0,93.6
184.2,58.9
183.8,76.2
146.9,48.5
141.5,45.1
127.3,50.4
105.6,42.4
186.5,65.8
181.3,73.6
200.0,78.6
199.7,74.9
155.5,54.8
176.9,56.6
194.5,69.2
185.0,61.7
124.7,46.4
145.1,46.6
112.9,20.0
195.4,65.5
160.6,23.3
122.9,31.5
167.2,59.0
161.8,54.5
135.8,62.7
111.4,36.4
167.2,63.9
152.0,34.6
177.2,60.0
152.0,46.1
185.2,59.7
155.2,44.6
156.1,35.0
187.7,56.1
140.3,53.9
113.4,30.3
102.9,21.4
175.5,62.7
162.0,67.7
170.4,60.2
121.3,41.1
113.6,23.4
101.5,20.0
135.1,46.1
159.0,73.4
139.2,58.9
143.7,52.7
190.4,71.7
134.8,56.4
151.4,58.6
178.4,41.2
139.7,34.3
162.2,59.5
186.2,50.2
195.0,63.5
114.7,25.4
192.7,68.8
149.2,46.7
125.8,35.0
145.9,56.2
198.0,71.3
149.3,45.8
132.9,27.9
163.3,66.9
124.0,30.3
107.6,20.0
112.9,33.6
112.8,23.7
115.2,27.3
113.9,34.5
164.1,53.8
118.2,57.2
134.6,41.5
189.7,76.0
147.4,29.3
166.8,49.8
117.2,22.7
119.2,25.1
104.1,57.3
116.9,43.8
127.9,42.4
117.7,31.6
108.9,23.1
112.1,42.2
146.1,68.8
120.6,36.7
136.4,52.6
150.3,53.6
169.0,67.1
103.9,20.0
179.9,60.1
162.8,60.3
108.2,41.2
187.4,60.5
192.1,97.6
106.1,23.1
127.7,48.9
180.6,49.5
174.8,50.6
118.5,35.8
120.9,34.3
137.0,49.5
148.5,36.9
161.8,52.7
136.9,55.4
146.3,36.2
174.7,77.1
103.7,20.0
125.2,46.1
171.3,56.9
189.5,58.3
151.2,45.6
153.2,57.1
110.7,30.3
144.7,58.6
153.3,66.0
124.2,25.3
126.9,25.9
137.7,30.8
102.0,20.0
132.2,52.1
121.1,41.2
132.7,35.9
112.0,30.9
189.1,83.6
159.4,73.8
167.9,61.5
178.9,37.9
149.8,52.9
108.7,38.7
153.7,54.1
158.7,61.6
174.5,65.8
143.2,34.2
112.8,22.5
128.4,36.0
136.3,53.8
164.6,49.6
157.1,58.1
135.6,45.8
198.7,90.2
160.6,78.0
123.7,20.0
110.2,36.6
115.3,54.0
124.6,44.4
116.1,25.2
118.7,23.5
128.5,29.7
117.3,53.7
189.7,66.6
108.0,22.4
152.5,49.6
141.0,42.4
198.2,89.8
111.2,20.5
139.8,56.7
196.9,74.7
186.6,80.3
181.7,81.7
125.8,38.7
117.1,30.4
166.9,59.1
192.9,70.5
155.7,36.3
157.2,69.1
128.0,41.5
176.9,51.8
118.7,20.0
132.4,20.0
142.5,54.0
150.8,44.2
124.2,32.6
111.5,35.6
161.1,50.4
128.9,44.9
158.1,55.0
115.4,31.9
148.1,33.3
153.3,43.4
105.2,33.6
133.7,35.0
113.4,43.8
106.3,51.6
199.0,81.1
132.2,56.0
181.0,72.7
125.5,32.4
168.2,61.1
176.0,83.1
159.6,49.5
147.2,38.2
141.2,34.3
134.9,40.3
193.0,61.4
183.1,83.3
196.5,75.4
112.4,40.9
173.1,58.6
193.8,60.5
118.1,21.0
106.6,20.0
174.1,65.5
157.4,58.9
184.2,73.1
114.0,20.0
179.5,64.8
120.2,24.8
116.4,37.2
116.4,38.0
181.5,54.0
166.5,67.9
152.3,74.5
135.9,51.3
187.7,67.2
139.2,41.5
181.7,63.7
143.9,39.3
137.7,46.4
146.3,36.7
130.1,21.2
174.8,64.6
150.3,50.3
123.2,30.9
190.0,57.2
138.4,47.1
154.4,42.3
190.6,68.9
162.4,73.9
111.7,37.4
194.0,58.3
162.8,43.6
133.5,43.3
113.9,20.0
179.4,44.7
162.0,61.3
153.3,54.9
189.4,74.2
178.9,67.1
115.2,31.9
131.2,34.0
124.8,42.6
174.4,77.5
103.4,21.7
157.0,43.3
176.2,82.7
187.7,60.2
134.2,44.1
182.1,44.7
111.1,34.9
184.6,73.8
112.7,49.6
139.7,35.1
179.7,65.7
115.0,31.1
122.9,41.7
172.2,59.7
172.0,73.6
164.1,53.8
169.4,49.9
154.3,41.5
125.2,44.9
134.6,42.6
118.2,84.6
190.8,76.6
158.3,34.0
140.1,33.6
146.2,37.9
194.7,64.2
115.3,28.5
158.6,64.3
150.6,62.3
161.1,52.6
101.8,23.4
187.2,61.6
193.2,72.5
156.5,101.3
